prod|title|author|date|review_format|stars|comments|review_ids|link_id|n_helpful
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"All 3 of my kids love it. It’s definitely a must have piece of baby gear!
            "|Derek &amp; Victoria|November 27, 2017|Verified Purchase|5|"I am a mother of 3, and I wish I’d had this mat from the beginning. I was skeptical that a baby play gym could really be worth $140, especially because I thought pretty much all other play gyms are completely overpriced for what you get, and not to mention, they are just plain ugly. My idea of what a play gym was, was based solely on the products currently on the market which were all basically just the same thing.I am SO happy to see ay that the Play Gym by Lovevery is nothing like the others, in all the best ways.The first obvious difference is that the frame for this is made from solid wood, which makes this Play Gym much stronger than anything else on the market. It’s soft and smooth, no chance of splinters and no sharp edges, every detail in this product has been carefully thought through, and it shows!It can hold up heavier toys, which your average mat will not. When I had my second son, my oldest would accidentally collapse the arms on our old mat by leaning against it or stepping on it and my baby got bashed in the face by a heavier hanging toy. Not an issue with this one, and I LOVE IT!Some reviewers have complained that the wooden frame is a downside because it doesn’t collapse easily, honestly I think that’s a plus for the reason above. No risk of it collapsing on my baby!The only thing slightly negative I have to say about the frame is that I wish the holes for hanging the toys were higher up the arms so they hung over the middle of the mat rather than on the sides. Still though, I don’t mind where they are.Now on to the mat itself. The texture is soft, but not slick like less expensive mats. My baby can actually get some traction to push herself up and isn’t just slipping all over it and getting frustrated. This mat also has some decent padding on it! We have wood floors so I’m not worried that she will smack her face on the floor when she is still learning to hold her head up and hurt herself. This would’ve definitely been an issue with our old one.I love the neutral tones of the mat, and the way that different areas of the mat can be opened and closed to prevent over stimulation and promote focus.The whole thing is so beautiful, it’s something that I can leave out and it doesn’t look like Toys-R-Us threw up in my living room, it actually adds to the decor/furniture in my opinion.The little booklet with all the Play ideas is probably my favorite part of the whole thing. It really takes the guesswork and research and puts it into an easy to understand format. You have the baby, you h e the tools, but how do you help your baby get the most out of play time? This book makes it SO easy! You don’t have to search through mountains of parenting books and blogs it’s all condensed Into a few short blurbs.I really can’t say enough good things about this. My daughter (9 weeks) absolutely loves the high contrast cards and the Montessori ball. My 5 and 3 year old boys ask me daily to turn it into a tent for them. It’s really a fantastic toy that grows with your child. I can’t wait to see all the new things we can/will do with this!TLDR: it’s the best. All 3 of my kids love it. It’s definitely a must have piece of baby gear!
            "|R11KIMDKNZN41S|AETT6GZORFV55BFNOAVFDIJ75QYQ|245
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Baby is fascinated by this gym, We love the developmental progress
            "|rqbanerjee|December 1, 2017|Verified Purchase|5|"Our 3-month old loves her morning play sessions on the Lovevery play gym. I am amazed by how long she can stay focused and attentive while lying on the gym. She is barely mobile (3 months), and from the middle of the mat, her focus usually goes to the high-contrast ball (in the picture), then to the high-contrast cards. This week, she has been enjoying the cards with baby face pictures. She actually coos at some of them, which is adorable.I'm enjoying seeing her progress from one area of the gym to the next as her brain develops. The thing I like the most as a parent is the Lovevery instruction manual. It has a pedagogically sound explanation of what stage our Eva's brain is in, what she can see, hear, and how she responds, and what the next stage will be. It tells you what type of stimulus is best for Baby, in weekly phases.We have a lot of books that tell us similar things about baby's development, but as a man of action I really appreciate being told what the next growth stage for our baby is, and what parts of the Lovevery gym to use to get her there. Love this product and I'm looking forward to my morning gym sessions with Eva for at least her first year.
            "|R1P4OJ907VEQ1Z|AGWNZI27Z372PBORQZNGEBDWOJHQ|86
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"The best activity mat and like no other!
            "|Molly M.|April 21, 2018|Verified Purchase|5|"In a word, wow!! This activity mat is fantastic. We have three kids and a lot of baby gear experience.  For our first two kids, we had one of the ubiquitous mats with lights, music and bright colors are over.  It was fine; the babies seemed to tolerate it, but I wouldn’t say they enjoyed it especially.  This play mat is simple and pleasant to look at.  No unnecessary lights and sounds that overstimulate baby.  There are five sensory experiences in various forms.  The hanging toys are at the perfect height for baby to kick, bat at and grab.  We especially love the interchangeable cards which include high-contrast images and mirrors.  At almost two months old, our little guy gets very excited to play on that mat, but he also enjoys quiet focus time with the cards. You can tell that a lot of careful thought went into this design. Unlike most activity mats, this one has the potential for longer term use.  Another neat feature is that it’s big enough for one or two of your older kids to play with the baby on it.  And the cover that can be used to make it a play tent is very fun. One of the best baby products we’ve had the pleasure to use.  Two thumbs way up!
            "|RF08NZOBN1V8R|AGZYUF4RV75U5JCQ7RNMM3TKGG7A|57
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Thoroughly impressed.
            "|East Coast Mom|June 22, 2018|Verified Purchase|5|"Well, wow. I was hesitant to spend this much money on a baby gym but the reviews and the longevity of use for this one convinced me.We only received it yesterday but I’m already so impressed. First of all it’s beautiful and feels high quality. I can’t say anything about durability yet. I love that there’s instructions for parents on how to play with it. My second child is only two weeks and she surprisingly shows interest in the high contrast flash cards (as I’m being instructed in the manual that she’s like that).For my first we had the skip hop treetop friends gym which she never had much interest in and I thought it was overall to busy. Also, it didn’t wash very well - sorry but spot cleaning with a damp cloth just doesn’t do the trick when somebody throws up hour-old milk.that being said, I’m hoping this one keeps its promise. It looks and touches amazing and I’m thoroughly impressed with all the thought that went into this. Can’t wait to play for the next year or so with it.
            "|R3VY9QAD4QYH2V|AHNJYT24MFZ5ZBDPZPEKXZEMYINQ|36
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Love this new play gym
            "|Amazon Customer|November 12, 2017|Verified Purchase|5|"Love this new play gym! The setup only took a few minutes and was super easy and intuitive. I love that the frame is wood instead of plastic, and you can easily wipe it down. There are a few different areas for the baby to explore as they grow. Right now, my 7 month old is fixated on the wooden rattle and the mirrors. Definitely an upgrade from existing products.
            "|R1QPBAZ4TLQZJT|AHRU5IPU6SRUJ3ZMI57DTJ6QOL4Q|46
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Fantastic and amazing playmat! Well worth the money!
            "|ebayseller|October 29, 2018|Verified Purchase|5|"I bought one first for my twin grandbabies in Germany.  My daughter is so happy with it and the attention to detail for little ones is wonderful.  It is sturdy, very well made, and comes with toys perfect for babies developmental stages, even a helpful booklet for parents on how to use the toys for each stage.  She recommended it so highly I bought a second one for my newest grandson here and I can watch him play on it and enjoy it.  I love the little cover that he will be able to use as his first little ""fort"".  It is so well thought out and so worth the money.  You won't regret buying it!
            "|R3GJ24GQUBQMO8|AGHRQF5LMNXP7SD4JVIYK7S5Y4QA|31
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"I wish this had been around when my first child was born
            "|Jenny|November 17, 2017|Verified Purchase|5|"I love my new Lovevery gym, and so does my baby girl!  In fact, she reached out and grabbed the wooden toy within seconds of being placed in the gym--her very first use of her hand as something other than a pacifier!  For me, probably the best thing about it is that it has a much longer useful life than a typical play gym--even able to convert into a play fort as she gets older.  If I had been able to buy this gym for my first child, I would have kept it until now, with my second baby.  It's a gorgeous, high quality product that doesn't look out of place in my home--totally worth the extra spend.  All the feels!! : )
            "|R2ZM6KP6HBDNC3|AFWVCZL3SFHN6CFFBQNRYFBMTIHQ|41
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"I have had 3 other play mats for my little guy and this is the one i would recommend over and over
            "|Lindsay Rapp|December 5, 2017|Verified Purchase|5|"This play mat is gorgeous and also stimulating to my baby. He is 5 months old and he loves it!!! The packaging, the directions, the inserts are all so well thought out and grow with your baby. I have had 3 other play mats for my little guy and this is the one i would recommend over and over! This will be my go to baby shower gift from now on! Thank you Loveevery <3
            "|R38BBAAWUCSWTE|AER246HH4SUEEBKEXFBLGASWTQWA|42
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Worst investment ever :(
            "|Mandi|February 9, 2019|Verified Purchase|1|"I really splurged on this because I didn’t want an “ugly” colorful mess in my living room,  we are tight on space so it’s going to be seen. and of course, I wanted the best for my little one!It got here and now that my baby is old enough to try it, it’s HUGE and although it’s beautiful with the wooden top...it’s insanely bulky and can barely fit through a doorway, so easy and quick assembly and dissaembly to put away while guests come over, etc. isn’t an option (which is so important when you are limited on space in your home!)Another disappointment for me is the 3 items that hang from it...they are places at very odd locations so if she lays in the middle she looks at nothing! You have to place your child in odd directions and all the way to the ends to see ONE hanging object, that right there makes me dislike this more than anything, because it’s simply not doing it’s job as being a baby gym!Mine also came missing one of the rings so that didn’t help my disappointment in this pricey item :(
            "|R2KT2CI90OCHMD|AFDS6YKQNUJOONFXGI4UTFG5JN6Q|24
The Play Gym by Lovevery; Stage-Based Developmental Activity Gym & Play Mat for Baby to Toddler|"Baby fun-zone!
            "|LLnyc|November 5, 2018|Verified Purchase|5|"As a FTM I had researched so many aspects of baby-care in preparation for our new arrival, but in the first few weeks I realized I was a bit clueless on expectations for how to entertain and exercise a brand new baby.Enter Lovevery. The play gym is a hit in our house.  Even from the first few weeks, the high-contrast cards and user friendly guide were so helpful. Baby was clearly stimulated by the designs, even at such a young age, which was a nice addition to our days filled with cluster feeding and diaper changes.Now, a few months in, baby's quickly becoming more and more engaged with each passing day. It's been incredible to watch him discover the new sensations and interactions he can have with his gym. The padded mat is the only place where  he'll tolerate tummy time. We also love that it washes super well and can hung on a drying rack for quick cleaning (for city peeps without in-unit driers).Last but not least... it looks great! inevitably a new baby = stuff and sometimes stuff all over... The gym is colorful and playful without being garish which we so appreciate :)Highly recommend!
            "|R35EWXS7WWCMMT|AGLB4VUXOYTMJSNSHHLOOOMITMBQ|25
